S,DoF,Contents,Codecs,Bitrates,Scores
9,1,2,2,3,3
9,1,2,2,4,3
9,1,3,1,1,4
9,1,3,1,2,5
9,1,3,1,3,5
9,1,3,1,4,4
9,1,3,2,1,2
9,1,3,2,2,2
9,1,3,2,3,3
9,1,3,2,4,4
9,1,4,1,1,2
9,1,4,1,2,3
9,1,4,1,3,5
9,1,4,1,4,4
9,1,4,2,1,1
9,1,4,2,2,1
9,1,4,2,3,3
9,1,4,2,4,3
10,1,1,1,1,6
10,1,1,1,2,6
10,1,1,1,3,6
10,1,1,1,4,6
10,1,1,2,1,3
10,1,1,2,2,4
10,1,1,2,3,4
10,1,1,2,4,5
10,1,2,1,1,2
10,1,2,1,2,4
10,1,2,1,3,5
10,1,2,1,4,5
10,1,2,2,1,1
10,1,2,2,2,2
10,1,2,2,3,3
10,1,2,2,4,4
10,1,3,1,1,3
10,1,3,1,2,6
10,1,3,1,3,5
10,1,3,1,4,6
10,1,3,2,1,2
10,1,3,2,2,2
10,1,3,2,3,4
10,1,3,2,4,5
10,1,4,1,1,3
10,1,4,1,2,3
10,1,4,1,3,5
10,1,4,1,4,3
10,1,4,2,1,1
10,1,4,2,2,1
10,1,4,2,3,3
10,1,4,2,4,4
11,1,1,1,1,4
11,1,1,1,2,5
11,1,1,1,3,6
11,1,1,1,4,7
11,1,1,2,1,4
11,1,1,2,2,5
11,1,1,2,3,5
11,1,1,2,4,5
11,1,2,1,1,3
11,1,2,1,2,3
11,1,2,1,3,3
11,1,2,1,4,4
11,1,2,2,1,2
11,1,2,2,2,3
11,1,2,2,3,4
11,1,2,2,4,5
11,1,3,1,1,3
11,1,3,1,2,3
11,1,3,1,3,3
11,1,3,1,4,4
11,1,3,2,1,2
11,1,3,2,2,3
11,1,3,2,3,3
11,1,3,2,4,2
11,1,4,1,1,2
11,1,4,1,2,2
11,1,4,1,3,3
11,1,4,1,4,3
11,1,4,2,1,1
11,1,4,2,2,2
11,1,4,2,3,2
11,1,4,2,4,3
12,1,1,1,1,2
12,1,1,1,2,3
12,1,1,1,3,4
12,1,1,1,4,4
12,1,1,2,1,2
12,1,1,2,2,3
12,1,1,2,3,3
12,1,1,2,4,3
12,1,2,1,1,4
12,1,2,1,2,4
12,1,2,1,3,5
12,1,2,1,4,4
12,1,2,2,1,2
12,1,2,2,2,3
12,1,2,2,3,3
12,1,2,2,4,3
12,1,3,1,1,6
12,1,3,1,2,5
12,1,3,1,3,6
12,1,3,1,4,7
12,1,3,2,1,4
12,1,3,2,2,4
12,1,3,2,3,5
12,1,3,2,4,6
12,1,4,1,1,2
12,1,4,1,2,4
12,1,4,1,3,4
12,1,4,1,4,5
12,1,4,2,1,2
12,1,4,2,2,2
12,1,4,2,3,3
12,1,4,2,4,4
13,1,1,1,1,3
13,1,1,1,2,4
13,1,1,1,3,5
13,1,1,1,4,5
13,1,1,2,1,2
13,1,1,2,2,3
13,1,1,2,3,4
13,1,1,2,4,5
13,1,2,1,1,2
13,1,2,1,2,4
13,1,2,1,3,4
13,1,2,1,4,3
13,1,2,2,1,1
13,1,2,2,2,1
13,1,2,2,3,3
13,1,2,2,4,3
13,1,3,1,1,5
13,1,3,1,2,4
13,1,3,1,3,7
13,1,3,1,4,6
13,1,3,2,1,3
13,1,3,2,2,3
13,1,3,2,3,4
13,1,3,2,4,5
13,1,4,1,1,1
13,1,4,1,2,3
13,1,4,1,3,5
13,1,4,1,4,4
13,1,4,2,1,1
13,1,4,2,2,2
13,1,4,2,3,2
13,1,4,2,4,4
14,1,1,1,1,2
14,1,1,1,2,3
14,1,1,1,3,4
14,1,1,1,4,3
14,1,1,2,1,1
14,1,1,2,2,1
14,1,1,2,3,2
14,1,1,2,4,3
14,1,2,1,1,2
14,1,2,1,2,3
14,1,2,1,3,5
14,1,2,1,4,4
14,1,2,2,1,1
14,1,2,2,2,2
14,1,2,2,3,3
14,1,2,2,4,3
14,1,3,1,1,3
14,1,3,1,2,4
14,1,3,1,3,5
14,1,3,1,4,4
14,1,3,2,1,2
14,1,3,2,2,2
14,1,3,2,3,3
14,1,3,2,4,4
14,1,4,1,1,2
14,1,4,1,2,3
14,1,4,1,3,3
14,1,4,1,4,4
14,1,4,2,1,1
14,1,4,2,2,1
14,1,4,2,3,2
14,1,4,2,4,2
15,1,1,1,1,4
15,1,1,1,2,5
15,1,1,1,3,6
15,1,1,1,4,5
15,1,1,2,1,3
15,1,1,2,2,4
15,1,1,2,3,4
15,1,1,2,4,5
15,1,2,1,1,2
15,1,2,1,2,4
15,1,2,1,3,3
15,1,2,1,4,4
15,1,2,2,1,1
15,1,2,2,2,1
15,1,2,2,3,2
15,1,2,2,4,2
15,1,3,1,1,2
15,1,3,1,2,3
15,1,3,1,3,4
15,1,3,1,4,3
15,1,3,2,1,1
15,1,3,2,2,1
15,1,3,2,3,1
15,1,3,2,4,2
15,1,4,1,1,4
15,1,4,1,2,4
15,1,4,1,3,5
15,1,4,1,4,5
15,1,4,2,1,3
15,1,4,2,2,3
15,1,4,2,3,4
15,1,4,2,4,5
16,1,1,1,1,4
16,1,1,1,2,5
16,1,1,1,3,5
16,1,1,1,4,4
16,1,1,2,1,3
16,1,1,2,2,3
16,1,1,2,3,4
16,1,1,2,4,5
16,1,2,1,1,3
16,1,2,1,2,5
16,1,2,1,3,5
16,1,2,1,4,6
16,1,2,2,1,2
16,1,2,2,2,2
16,1,2,2,3,3
16,1,2,2,4,4
16,1,3,1,1,3
16,1,3,1,2,4
16,1,3,1,3,5
16,1,3,1,4,5
16,1,3,2,1,3
16,1,3,2,2,3
16,1,3,2,3,4
16,1,3,2,4,5
16,1,4,1,1,3
16,1,4,1,2,4
16,1,4,1,3,3
16,1,4,1,4,5
16,1,4,2,1,2
16,1,4,2,2,2
16,1,4,2,3,3
16,1,4,2,4,4
17,1,1,1,1,3
17,1,1,1,2,5
17,1,1,1,3,4
17,1,1,1,4,4
17,1,1,2,1,2
17,1,1,2,2,2
17,1,1,2,3,4
17,1,1,2,4,6
17,1,2,1,1,4
17,1,2,1,2,3
17,1,2,1,3,5
17,1,2,1,4,5
17,1,2,2,1,1
17,1,2,2,2,2
17,1,2,2,3,2
17,1,2,2,4,4
17,1,3,1,1,2
17,1,3,1,2,3
17,1,3,1,3,4
17,1,3,1,4,3
17,1,3,2,1,1
17,1,3,2,2,1
17,1,3,2,3,3
17,1,3,2,4,4
17,1,4,1,1,1
17,1,4,1,2,3
17,1,4,1,3,4
17,1,4,1,4,4
17,1,4,2,1,1
17,1,4,2,2,1
17,1,4,2,3,2
17,1,4,2,4,4
18,1,1,1,1,4
18,1,1,1,2,6
18,1,1,1,3,7
18,1,1,1,4,5
18,1,1,2,1,3
18,1,1,2,2,3
18,1,1,2,3,5
18,1,1,2,4,5
18,1,2,1,1,3
18,1,2,1,2,6
18,1,2,1,3,6
18,1,2,1,4,5
18,1,2,2,1,2
18,1,2,2,2,2
18,1,2,2,3,3
18,1,2,2,4,4
18,1,3,1,1,3
18,1,3,1,2,5
18,1,3,1,3,6
18,1,3,1,4,5
18,1,3,2,1,3
18,1,3,2,2,3
18,1,3,2,3,4
18,1,3,2,4,4
18,1,4,1,1,2
18,1,4,1,2,4
18,1,4,1,3,6
18,1,4,1,4,5
18,1,4,2,1,2
18,1,4,2,2,2
18,1,4,2,3,3
18,1,4,2,4,4
19,1,1,1,1,3
19,1,1,1,2,4
19,1,1,1,3,5
19,1,1,1,4,5
19,1,1,2,1,2
19,1,1,2,2,3
19,1,1,2,3,3
19,1,1,2,4,4
19,1,2,1,1,2
19,1,2,1,2,4
19,1,2,1,3,4
19,1,2,1,4,4
19,1,2,2,1,1
19,1,2,2,2,1
19,1,2,2,3,3
19,1,2,2,4,5
19,1,3,1,1,3
19,1,3,1,2,4
19,1,3,1,3,6
19,1,3,1,4,5
19,1,3,2,1,2
19,1,3,2,2,4
19,1,3,2,3,4
19,1,3,2,4,4
19,1,4,1,1,2
19,1,4,1,2,3
19,1,4,1,3,4
19,1,4,1,4,5
19,1,4,2,1,1
19,1,4,2,2,2
19,1,4,2,3,3
19,1,4,2,4,4
20,1,1,1,1,4
20,1,1,1,2,4
20,1,1,1,3,4
20,1,1,1,4,4
20,1,1,2,1,1
20,1,1,2,2,2
20,1,1,2,3,4
20,1,1,2,4,5
20,1,2,1,1,4
20,1,2,1,2,3
20,1,2,1,3,4
20,1,2,1,4,4
20,1,2,2,1,1
20,1,2,2,2,3
20,1,2,2,3,2
20,1,2,2,4,4
20,1,3,1,1,3
20,1,3,1,2,4
20,1,3,1,3,6
20,1,3,1,4,5
20,1,3,2,1,2
20,1,3,2,2,2
20,1,3,2,3,4
20,1,3,2,4,6
20,1,4,1,1,2
20,1,4,1,2,5
20,1,4,1,3,4
20,1,4,1,4,5
20,1,4,2,1,1
20,1,4,2,2,3
20,1,4,2,3,3
20,1,4,2,4,3
21,1,1,1,1,4
21,1,1,1,2,4
21,1,1,1,3,5
21,1,1,1,4,4
21,1,1,2,1,2
21,1,1,2,2,3
21,1,1,2,3,4
21,1,1,2,4,5
21,1,2,1,1,2
21,1,2,1,2,5
21,1,2,1,3,4
21,1,2,1,4,4
21,1,2,2,1,2
21,1,2,2,2,2
21,1,2,2,3,4
21,1,2,2,4,5
21,1,3,1,1,3
21,1,3,1,2,3
21,1,3,1,3,5
21,1,3,1,4,3
21,1,3,2,1,1
21,1,3,2,2,2
21,1,3,2,3,3
21,1,3,2,4,4
21,1,4,1,1,3
21,1,4,1,2,4
21,1,4,1,3,4
21,1,4,1,4,5
21,1,4,2,1,2
21,1,4,2,2,3
21,1,4,2,3,3
21,1,4,2,4,4
22,1,1,1,1,3
22,1,1,1,2,4
22,1,1,1,3,4
22,1,1,1,4,5
22,1,1,2,1,1
22,1,1,2,2,2
22,1,1,2,3,3
22,1,1,2,4,4
22,1,2,1,1,2
22,1,2,1,2,4
22,1,2,1,3,3
22,1,2,1,4,5
22,1,2,2,1,1
22,1,2,2,2,2
22,1,2,2,3,3
22,1,2,2,4,3
22,1,3,1,1,3
22,1,3,1,2,4
22,1,3,1,3,5
22,1,3,1,4,5
22,1,3,2,1,2
22,1,3,2,2,3
22,1,3,2,3,4
22,1,3,2,4,4
22,1,4,1,1,3
22,1,4,1,2,3
22,1,4,1,3,4
22,1,4,1,4,3
22,1,4,2,1,1
22,1,4,2,2,2
22,1,4,2,3,3
22,1,4,2,4,4
23,1,1,1,1,2
23,1,1,1,2,6
23,1,1,1,3,3
23,1,1,1,4,5
23,1,1,2,1,2
23,1,1,2,2,3
23,1,1,2,3,4
23,1,1,2,4,4
23,1,2,1,1,2
23,1,2,1,2,2
23,1,2,1,3,4
23,1,2,1,4,5
23,1,2,2,1,1
23,1,2,2,2,1
23,1,2,2,3,4
23,1,2,2,4,4
23,1,3,1,1,5
23,1,3,1,2,4
23,1,3,1,3,4
23,1,3,1,4,7
23,1,3,2,1,3
23,1,3,2,2,5
23,1,3,2,3,6
23,1,3,2,4,5
23,1,4,1,1,2
23,1,4,1,2,4
23,1,4,1,3,3
23,1,4,1,4,3
23,1,4,2,1,1
23,1,4,2,2,2
23,1,4,2,3,3
23,1,4,2,4,5
24,1,1,1,1,4
24,1,1,1,2,4
24,1,1,1,3,5
24,1,1,1,4,4
24,1,1,2,1,3
24,1,1,2,2,4
24,1,1,2,3,4
24,1,1,2,4,4
24,1,2,1,1,2
24,1,2,1,2,4
24,1,2,1,3,3
24,1,2,1,4,5
24,1,2,2,1,2
24,1,2,2,2,3
24,1,2,2,3,3
24,1,2,2,4,4
24,1,3,1,1,3
24,1,3,1,2,5
24,1,3,1,3,6
24,1,3,1,4,6
24,1,3,2,1,3
24,1,3,2,2,3
24,1,3,2,3,4
24,1,3,2,4,5
24,1,4,1,1,2
24,1,4,1,2,3
24,1,4,1,3,3
24,1,4,1,4,4
24,1,4,2,1,2
24,1,4,2,2,3
24,1,4,2,3,3
24,1,4,2,4,3
25,1,1,1,1,3
25,1,1,1,2,5
25,1,1,1,3,6
25,1,1,1,4,6
25,1,1,2,1,3
25,1,1,2,2,3
25,1,1,2,3,4
25,1,1,2,4,5
25,1,2,1,1,3
25,1,2,1,2,6
25,1,2,1,3,6
25,1,2,1,4,4
25,1,2,2,1,2
25,1,2,2,2,2
25,1,2,2,3,3
25,1,2,2,4,6
25,1,3,1,1,3
25,1,3,1,2,4
25,1,3,1,3,4
25,1,3,1,4,4
25,1,3,2,1,2
25,1,3,2,2,2
25,1,3,2,3,3
25,1,3,2,4,6
25,1,4,1,1,2
25,1,4,1,2,3
25,1,4,1,3,4
25,1,4,1,4,4
25,1,4,2,1,1
25,1,4,2,2,1
25,1,4,2,3,3
25,1,4,2,4,5
26,2,1,1,1,5
26,2,1,1,2,5
26,2,1,1,3,6
26,2,1,1,4,5
26,2,1,2,1,3
26,2,1,2,2,3
26,2,1,2,3,4
26,2,1,2,4,6
26,2,2,1,1,2
26,2,2,1,2,4
26,2,2,1,3,5
26,2,2,1,4,5
26,2,2,2,1,1
26,2,2,2,2,2
26,2,2,2,3,2
26,2,2,2,4,4
26,2,3,1,1,3
26,2,3,1,2,3
26,2,3,1,3,5
26,2,3,1,4,5
26,2,3,2,1,2
26,2,3,2,2,2
26,2,3,2,3,3
26,2,3,2,4,4
26,2,4,1,1,2
26,2,4,1,2,2
26,2,4,1,3,3
26,2,4,1,4,4
26,2,4,2,1,1
26,2,4,2,2,1
26,2,4,2,3,3
26,2,4,2,4,4
27,2,1,1,1,5
27,2,1,1,2,5
27,2,1,1,3,5
27,2,1,1,4,5
27,2,1,2,1,3
27,2,1,2,2,3
27,2,1,2,3,4
27,2,1,2,4,4
27,2,2,1,1,2
27,2,2,1,2,3
27,2,2,1,3,4
27,2,2,1,4,5
27,2,2,2,1,1
27,2,2,2,2,1
27,2,2,2,3,3
27,2,2,2,4,3
27,2,3,1,1,2
27,2,3,1,2,4
27,2,3,1,3,3
27,2,3,1,4,4
27,2,3,2,1,2
27,2,3,2,2,2
27,2,3,2,3,3
27,2,3,2,4,3
27,2,4,1,1,1
27,2,4,1,2,2
27,2,4,1,3,4
27,2,4,1,4,4
27,2,4,2,1,1
27,2,4,2,2,1
27,2,4,2,3,2
27,2,4,2,4,4
28,2,1,1,1,4
28,2,1,1,2,4
28,2,1,1,3,4
28,2,1,1,4,5
28,2,1,2,1,2
28,2,1,2,2,3
28,2,1,2,3,4
28,2,1,2,4,4
28,2,2,1,1,4
28,2,2,1,2,6
28,2,2,1,3,6
28,2,2,1,4,5
28,2,2,2,1,3
28,2,2,2,2,4
28,2,2,2,3,4
28,2,2,2,4,5
28,2,3,1,1,4
28,2,3,1,2,4
28,2,3,1,3,5
28,2,3,1,4,4
28,2,3,2,1,2
28,2,3,2,2,3
28,2,3,2,3,3
28,2,3,2,4,5
28,2,4,1,1,2
28,2,4,1,2,3
28,2,4,1,3,4
28,2,4,1,4,5
28,2,4,2,1,1
28,2,4,2,2,2
28,2,4,2,3,2
28,2,4,2,4,4
29,2,1,1,1,3
29,2,1,1,2,4
29,2,1,1,3,4
29,2,1,1,4,4
29,2,1,2,1,2
29,2,1,2,2,4
29,2,1,2,3,3
29,2,1,2,4,5
29,2,2,1,1,5
29,2,2,1,2,6
29,2,2,1,3,5
29,2,2,1,4,6
29,2,2,2,1,3
29,2,2,2,2,4
29,2,2,2,3,4
29,2,2,2,4,4
29,2,3,1,1,3
29,2,3,1,2,3
29,2,3,1,3,3
29,2,3,1,4,4
29,2,3,2,1,2
29,2,3,2,2,3
29,2,3,2,3,4
29,2,3,2,4,4
29,2,4,1,1,3
29,2,4,1,2,4
29,2,4,1,3,4
29,2,4,1,4,6
29,2,4,2,1,2
29,2,4,2,2,3
29,2,4,2,3,4
29,2,4,2,4,4
30,2,1,1,1,5
30,2,1,1,2,5
30,2,1,1,3,5
30,2,1,1,4,5
30,2,1,2,1,3
30,2,1,2,2,5
30,2,1,2,3,5
30,2,1,2,4,6
30,2,2,1,1,3
30,2,2,1,2,4
30,2,2,1,3,5
30,2,2,1,4,4
30,2,2,2,1,1
30,2,2,2,2,2
30,2,2,2,3,3
30,2,2,2,4,4
30,2,3,1,1,3
30,2,3,1,2,5
30,2,3,1,3,4
30,2,3,1,4,5
30,2,3,2,1,2
30,2,3,2,2,3
30,2,3,2,3,4
30,2,3,2,4,6
30,2,4,1,1,2
30,2,4,1,2,3
30,2,4,1,3,4
30,2,4,1,4,5
30,2,4,2,1,1
30,2,4,2,2,2
30,2,4,2,3,3
30,2,4,2,4,4
31,2,1,1,1,5
31,2,1,1,2,5
31,2,1,1,3,6
31,2,1,1,4,6
31,2,1,2,1,4
31,2,1,2,2,4
31,2,1,2,3,5
31,2,1,2,4,6
31,2,2,1,1,2
31,2,2,1,2,4
31,2,2,1,3,5
31,2,2,1,4,4
31,2,2,2,1,1
31,2,2,2,2,1
31,2,2,2,3,3
31,2,2,2,4,5
31,2,3,1,1,2
31,2,3,1,2,3
31,2,3,1,3,4
31,2,3,1,4,4
31,2,3,2,1,2
31,2,3,2,2,2
31,2,3,2,3,3
31,2,3,2,4,4
31,2,4,1,1,2
31,2,4,1,2,3
31,2,4,1,3,4
31,2,4,1,4,4
31,2,4,2,1,2
31,2,4,2,2,2
31,2,4,2,3,2
31,2,4,2,4,4
32,2,1,1,1,3
32,2,1,1,2,5
32,2,1,1,3,7
32,2,1,1,4,5
32,2,1,2,1,3
32,2,1,2,2,4
32,2,1,2,3,5
32,2,1,2,4,5
32,2,2,1,1,3
32,2,2,1,2,4
32,2,2,1,3,5
32,2,2,1,4,5
32,2,2,2,1,1
32,2,2,2,2,2
32,2,2,2,3,3
32,2,2,2,4,4
32,2,3,1,1,4
32,2,3,1,2,5
32,2,3,1,3,5
32,2,3,1,4,4
32,2,3,2,1,2
32,2,3,2,2,3
32,2,3,2,3,4
32,2,3,2,4,4
32,2,4,1,1,2
32,2,4,1,2,3
32,2,4,1,3,4
32,2,4,1,4,5
32,2,4,2,1,1
32,2,4,2,2,1
32,2,4,2,3,3
32,2,4,2,4,3
33,2,1,1,1,3
33,2,1,1,2,4
33,2,1,1,3,4
33,2,1,1,4,4
33,2,1,2,1,2
33,2,1,2,2,3
33,2,1,2,3,4
33,2,1,2,4,4
33,2,2,1,1,3
33,2,2,1,2,5
33,2,2,1,3,5
33,2,2,1,4,5
33,2,2,2,1,2
33,2,2,2,2,3
33,2,2,2,3,4
33,2,2,2,4,4
33,2,3,1,1,3
33,2,3,1,2,5
33,2,3,1,3,6
33,2,3,1,4,5
33,2,3,2,1,2
33,2,3,2,2,3
33,2,3,2,3,3
33,2,3,2,4,5
33,2,4,1,1,2
33,2,4,1,2,4
33,2,4,1,3,4
33,2,4,1,4,4
33,2,4,2,1,1
33,2,4,2,2,2
33,2,4,2,3,3
33,2,4,2,4,4
34,2,1,1,1,5
34,2,1,1,2,5
34,2,1,1,3,5
34,2,1,1,4,7
34,2,1,2,1,3
34,2,1,2,2,3
34,2,1,2,3,6
34,2,1,2,4,6
34,2,2,1,1,3
34,2,2,1,2,5
34,2,2,1,3,5
34,2,2,1,4,4
34,2,2,2,1,3
34,2,2,2,2,3
34,2,2,2,3,4
34,2,2,2,4,6
34,2,3,1,1,4
34,2,3,1,2,5
34,2,3,1,3,6
34,2,3,1,4,5
34,2,3,2,1,3
34,2,3,2,2,5
34,2,3,2,3,5
34,2,3,2,4,5
34,2,4,1,1,2
34,2,4,1,2,3
34,2,4,1,3,3
34,2,4,1,4,4
34,2,4,2,1,1
34,2,4,2,2,2
34,2,4,2,3,3
34,2,4,2,4,4
35,2,1,1,1,2
35,2,1,1,2,4
35,2,1,1,3,4
35,2,1,1,4,5
35,2,1,2,1,1
35,2,1,2,2,2
35,2,1,2,3,3
35,2,1,2,4,3
35,2,2,1,1,3
35,2,2,1,2,4
35,2,2,1,3,5
35,2,2,1,4,5
35,2,2,2,1,1
35,2,2,2,2,2
35,2,2,2,3,3
35,2,2,2,4,4
35,2,3,1,1,5
35,2,3,1,2,6
35,2,3,1,3,6
35,2,3,1,4,6
35,2,3,2,1,2
35,2,3,2,2,4
35,2,3,2,3,6
35,2,3,2,4,5
35,2,4,1,1,2
35,2,4,1,2,3
35,2,4,1,3,5
35,2,4,1,4,5
35,2,4,2,1,1
35,2,4,2,2,2
35,2,4,2,3,3
35,2,4,2,4,5
36,2,1,1,1,5
36,2,1,1,2,4
36,2,1,1,3,4
36,2,1,1,4,4
36,2,1,2,1,3
36,2,1,2,2,3
36,2,1,2,3,3
36,2,1,2,4,5
36,2,2,1,1,2
36,2,2,1,2,3
36,2,2,1,3,3
36,2,2,1,4,2
36,2,2,2,1,1
36,2,2,2,2,2
36,2,2,2,3,2
36,2,2,2,4,2
36,2,3,1,1,4
36,2,3,1,2,4
36,2,3,1,3,6
36,2,3,1,4,6
36,2,3,2,1,4
36,2,3,2,2,4
36,2,3,2,3,5
36,2,3,2,4,6
36,2,4,1,1,3
36,2,4,1,2,4
36,2,4,1,3,4
36,2,4,1,4,5
36,2,4,2,1,2
36,2,4,2,2,2
36,2,4,2,3,3
36,2,4,2,4,4
37,2,1,1,1,4
37,2,1,1,2,6
37,2,1,1,3,5
37,2,1,1,4,5
37,2,1,2,1,4
37,2,1,2,2,4
37,2,1,2,3,7
37,2,1,2,4,5
